idDeputado,idPartido
220593,37906
204379,36899
220714,37908
221328,37906
204560,36835
204528,37901
121948,37903
74646,36835
160508,36844
136811,37903
178835,36786
160527,37903
204495,36844
204549,37903
73579,37906
74696,36899
220538,37908
160559,36899
204501,36844
178972,37905
204571,37908
220542,37908
220542,36899
160545,38009
220554,36844
204503,36844
221148,36844
220576,38009
74057,36779
178927,36851
204353,37908
226708,37903
178937,37906
178881,36833
178881,37908
220596,37906
220707,37903
204356,37908
220715,37905
107970,37903
220556,36844
220632,36844
178831,37903
220657,37906
204423,37906
133439,36786
178882,37903
204515,36898
220676,36899
123756,37908
220544,37908
160553,36834
220638,37906
220675,36899
220549,37905
73433,36844
141391,37905
160541,37903
160600,38009
74090,36834
123086,37903
160665,37908
220577,36899
220577,36899
160512,37904
69871,36851
178975,36899
220605,36832
220612,36845
220612,37903
73701,36844
109429,38009
204358,36835
220698,36834
220683,36835
204374,37906
204388,37906
160538,36844
74052,37906
210989,36898
220635,36896
220574,37906
143942,36834
220548,36844
204572,37906
220690,37906
178829,37906
229069,37903
229106,36844
213762,38009
204507,37906
204361,36899
178962,37908
178993,38009
204460,37906
74262,36835
74262,36834
204426,36844
141398,36844
164360,37905
220704,36844
204369,37906
220699,36834
206018,36839
178876,36899
204488,36834
73441,37908
204496,38009
204504,36834
205476,36834
74171,36839
204476,38009
204476,36852
204462,37906
220665,37903
74537,37903
141408,37908
141408,36899
88256,36851
98148,36899
204376,37906
204376,37903
220594,38009
204378,37906
220595,37906
220666,37906
204514,37906
222142,37903
220590,38009
178963,37903
220608,38009
204355,37903
141411,36835
220555,36779
220692,38009
74467,38009
220629,36844
220603,38009
220571,37906
74060,36779
220582,37903
204367,37906
228941,36896
220614,36834
204409,36835
204459,38009
220557,37906
62881,38009
160552,36834
116379,36834
204511,38009
220659,38009
220659,38009
220539,37908
220565,36844
220625,36898
220561,36834
220642,37903
220673,37906
220649,37903
178908,37906
220583,37903
204512,38009
220701,38009
220652,36899
220654,37906
220619,37906
228272,36786
220705,36896
220553,36844
220689,37906
160588,36834
220691,36834
178929,37908
73768,37903
220671,36844
160599,37903
220602,36844
143632,36834
160758,37906
220573,36786
227433,38009
204450,37903
221339,38009
227401,38009
227991,37906
226708,37903
221339,38009
220614,36834
220610,38009
220688,36844
204518,37907
204518,38010
212625,36896
220570,36834
204481,37906
204351,37903
228616,37903
220528,36896
204412,38009
220674,36899
230088,37906
220686,36832
227800,36833
227800,36896
227800,37908
220686,36832
220540,36899
220623,36786
204541,36786
92346,37906
141421,37903
220589,38009
74075,36899
204364,37906
226553,36834
229585,36844
220008,37903
234406,37903
178854,38009
218086,37908
198783,36899
161550,37906
225730,36786
225730,36896
230765,36779
132504,36844
220663,36832
220645,36839
160575,36844
160640,37906
204482,36833
204482,37908
74454,36899
178871,37903
234388,37907
234388,38010
178905,38009
68720,38009
220681,36896
171623,36834
204368,38009
220653,36899
74065,37908
220712,38009
66828,37903
220712,38009
220646,38009
72442,36832
204398,38009
227370,37907
227370,38010
160666,36786
204407,36839
220656,38009
141431,38009
204445,36844
92699,37903
92699,37908
204427,37906
204411,37906
220545,37906
160598,36786
225727,36899
191923,36844
220700,36844
220551,37908
204494,37907
204494,38010
220534,37908
224117,37908
220708,36834
204473,37906
220611,37906
178966,36835
220702,38009
74374,36835
220587,37903
204394,36832
74383,37906
204491,37908
74270,36833
74270,36834
220529,36896
204365,37901
220526,37906
220531,37908
160673,37906
226179,38009
152605,36839
229333,37906
204419,36833
204419,36896
107283,36844
198197,36898
220639,36839
204531,37906
220664,36832
220568,37906
204408,37908
204456,36899
178964,36832
178873,36844
220537,36899
178909,38009
204444,37906
220672,36899
227324,37906
204539,36899
100689,37908
178884,36899
141450,36834
160674,37908
220563,37906
204533,36786
204508,36896
204508,36834
98615,36834
220570,36834
204436,36899
230764,38009
73531,36839
220696,36844
220670,36899
220527,36844
220697,36851
220697,37908
74848,36779
220567,37908
74273,37906
160531,37908
141456,36844
141458,37906
230957,36899
178970,36844
74550,37903
141459,37906
141459,37903
178910,37906
160548,36832
217480,36834
205550,37908
214694,37906
214694,37908
178857,36844
141464,36844
141470,36844
204472,37906
204391,37903
204391,38009
74079,36899
74554,38009
209189,36844
220578,36786
74141,36844
204563,37906
215043,36834
204474,36899
220559,37906
220640,36844
228837,36899
66385,37903
74317,36834
204372,37908
74253,37903
228797,37903
204457,38009
204520,37906
204497,36834
204574,37906
204550,37906
204550,36832
178886,38009
208297,36833
208297,36896
208297,37908
220677,36899
162067,36844
204536,38009
98057,37908
74856,36834
141480,37903
178832,36834
220600,38009
220566,36835
231911,36844
80815,36786
122195,36833
122195,36896
74156,36844
74299,36786
92102,38009
139285,36832
74585,37906
74858,36844
171139,37904
220662,36832
204404,36835
138286,36834
220581,36851
220581,36834
103758,36834
74478,38009
178931,36832
227323,37906
220616,37906
220616,37908
178954,36899
229082,36786
222429,37908
160510,36898
204410,36834
204448,37903
141485,38009
73778,36896
204485,37906
74041,36844
141487,36834
229432,36899
220658,36834
204455,37906
204455,37901
220636,36844
162332,36834
204526,37906
74784,36839
178866,36844
220669,37903
166402,37906
166402,37907
166402,38010
220648,38009
156190,37901
179000,37906
204433,36834
220599,37908
220634,37904
220634,36852
220634,36832
133810,37906
160161,37903
160161,36835
178983,37906
179001,36899
226410,36899
220687,36786
81055,36779
150418,37908
204522,36834
219585,37903
160535,36844
204431,36834
204506,37908
220547,37906
178943,38009
220604,36786
220668,37904
74398,36844
204540,37908
227275,36833
227275,36896
227275,37908
220637,36886
220655,37906
74158,36786
178858,37903
204566,37907
204566,38010
220572,36899
178843,37903
220661,37906
220609,38009
220628,37906
220550,36896
220647,37903
204486,36786
220607,36763
220607,37904
220607,36786
220591,38009
74428,38009
188097,36844
220585,37903
220530,37908
171786,36844
178985,37906
154178,37908
178895,36834
229225,37903
160561,37906
178997,38009
220617,38009
220584,37908
204453,36844
228042,36834
233218,36899
204449,37906
220622,36896
220703,37903
220703,36898
229939,38009
178896,36899
204479,38009
209787,37906
178986,36844
227660,36834
74159,36844
204498,36899
178987,36779
73692,36899
73692,37906
204422,37908
204441,36899
204573,36834
220706,38009
160556,36844
230762,38009
180214,38009
160642,37906
204570,37906
220615,36839
204553,36898
74160,36844
74095,38009
171617,36844
141518,37904
220627,38009
141516,36835
220650,36835
178860,38009
160517,36832
160517,36832
160558,37906
204492,36844
233592,36839
220685,36834
74574,36834
128760,37906
74400,36844
141488,36844
220630,37907
220630,38010
220667,36832
229112,37906
122974,38009
204395,37903
204395,37908
122158,36834
229259,36844
160604,36844
204406,37903
161440,36899
204524,37903
73486,36786
160601,37906
226075,37906
89536,37908
220533,36851
204390,37906
220580,36786
221338,36839
160641,36779
220586,36899
233594,36896
233594,36896
220532,36899
220626,38009
204567,36896
74084,36834
115200,37908
74161,36844
221378,36844
220606,36844
205865,36834
225386,36834
178989,36896
153423,36899
73801,36779
175765,36834
221329,38009
220543,37908
73788,37903
234310,36886
204362,36834
204362,37906
220694,36899
220633,37906
220633,37901
213274,36834
204489,36786
220693,37906
220588,37908
220613,37906
220613,37906
220624,37906
220624,37903
220546,37906
230767,37906
141531,38009
223128,36834
220641,36896
141533,36832
165470,38009
220695,37908
204480,36844
160629,36833
160629,36896
163321,37908
204525,37906
178945,37908
220644,38009
220620,37906
73806,36899
74371,36844
178887,36844
73604,36844
160635,36833
160635,36896
204535,36839
233598,36833
233598,36896
233598,36833
233598,36896
220631,37906
220631,37908
204416,37906
160621,36834
204387,36834
220621,37906
220618,36896
220713,38009
226837,36834
73808,36834
178933,36899
204557,36834
74356,37908
204360,37906
204360,37903
220579,37906
227310,37906
204425,37908
220569,38009
220651,36899
104552,37903
220643,36839
220575,37906
178946,37906
178947,37906
92776,36834
204534,36832
230177,37906
220682,36844
204464,36839
220598,36839
220552,37908
220552,37906
220560,37903
220597,36899
220597,37908
143084,36896
220684,37903
160976,37906
178934,36763
178934,37903
157130,36886
223398,36899
160610,36844
74376,36844
204396,37906
204396,37903
74283,36844
137070,37903
141555,37908
160591,37906
178992,36835
91228,36898
160569,36844
220601,36844
160518,36763
160518,37904
74043,37906
224333,36844
74044,37908
182146,37907
182146,37904
220564,38009
220660,37906
220660,36852
220660,36899
230768,37903
220536,36834
204559,36844
160632,37904
220558,37906
204517,37906
160592,36844
220592,37903
220552,37908
220552,37906
